Strain,B1_req,B2_req,B3_req,B5_req,B6_req,B9_req,B12_req,Kx_req,B1_syn,B2_syn,B3_syn,B5_syn,B6_syn,B9_syn,B12_syn,Kx_syn,Cluster
Lactobacillus_reuteri_MM4_1A_,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,B3+
Lactobacillus_reuteri_SD2112_ATCC_55730,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,B6+
Lactobacillus_rhamnosus_GG_ATCC_53103,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,B6++
Lactobacillus_rhamnosus_LMS2_1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_ruminis_ATCC_25644,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,None
Lactobacillus_sakei_subsp_sakei_23K,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,B6++
Lactobacillus_salivarius_HO66_ATCC_11741,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_salivarius_salivarius_UCC118,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,B6+
Lactobacillus_ultunensis_DSM_16047,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,B6+
Lactobacillus_vaginalis_ATCC_49540,0,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,None
Lactococcus_garvieae_ATCC_49156,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,B6++
Lactococcus_lactis_subsp_lactis_Il1403,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,None
Lactococcus_raffinolactis_4877,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,None
Laribacter_hongkongensis_HLHK9,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Lautropia_mirabilis_ATCC_51599,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Leminorella_grimontii_ATCC_33999,1,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,None
Leptotrichia_buccalis_C_1013_b,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,B1+B3+B5+
Leuconostoc_argentinum_KCTC_3773,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Leuconostoc_gelidum_JB7,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Leuconostoc_lactis_KACC_91922,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Leuconostoc_mesenteroides_subsp_cremoris_ATCC_19254,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,B3+
Listeria_grayi_DSM_20601,0,0,1,0,0,0,0,0,1,1,0,1,1,1,0,1,B3+
Listeria_monocytogenes_4a_L99,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_4b_F2365,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_Finland_1988,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_FSL_R2_561,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_J0161_FSL_R2_499,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_serotype_7_SLCC_2482,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_SLCC_2378,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_SLCC_2540,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Listeria_monocytogenes_SLCC_7179,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Lysinibacillus_fusiformis_ZB2,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Lysinibacillus_sphaericus_C3_41,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,B2+
Marvinbryantia_formatexigens_I_52_DSM_14469,0,1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,B6+
Megamonas_funiformis_YIT_11815,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Megamonas_hypermegale_ART12_1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,()
Megasphaera_elsdenii_DSM_20460,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,B6+
Melainabacterium_MEL_A1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Mesorhizobium_loti_MAFF303099,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Methanobrevibacter_ruminantium_M1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,B6++
Methanobrevibacter_smithii_ATCC_35061,1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,B5++
Methanomassiliicoccus_luminyensis_B10,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,B5++
Methanosphaera_stadtmanae_DSM_3091,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,B1+B3+B5+
Methylobacterium_mesophilicum_SR1_6_6,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,K+
Methylobacterium_populi_BJ001,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Methylobacterium_radiotolerans_JCM_2831,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,B9+
Methyloversatilis_universalis_FAM5,1,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,None
Methyloversatilis_universalis_Fam50001,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,None
Microbacterium_gubbeenense_DSM_15944,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,K+
Microbacterium_oleivorans_NBRC_103075,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Microbacterium_paraoxydans_77MFTsu3_2,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,B5++
Micrococcus_luteus_NCTC_2665,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,B1
Micromonospora_aurantiaca_ATCC_27029,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,B9+
Mitsuokella_jalaludinii_DSM_13811,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,B1+B3+B5+
Mitsuokella_multacida_DSM_20544,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,B3+
Mobiluncus_curtisii_ATCC_43063,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
Mogibacterium_timidum_ATCC_33093,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,B6++
Moraxella_catarrhalis_RH4,1,1,0,0,0,1,0,1,0,0,1,1,1,0,1,0,None
